front,back,frontHint,backHint,labels
"What does ""et cetera"" mean?",And so forth,Latin phrase,Abbreviated as etc.,vocabulary latin
"Translate: café",Coffee shop,French word,Accent on e,language french
"What is π (pi)?",3.14159...,Mathematical constant,Circle ratio,math constant
"Translate: señor",Mister/Sir,Spanish title,Tilde over n,language spanish
"What does © mean?",Copyright,Legal symbol,Protects creative work,legal symbol
"Translate: naïve",Innocent or unsophisticated,French origin,Diaeresis on i,language french vocabulary
"What does & represent?",And,Ampersand,Ligature symbol,symbol grammar
"Translate: résumé",Summary of qualifications,French origin,Accent aigu,language french career
"What is ∞?",Infinity,Mathematical symbol,Endless,math symbol
"Translate: piñata",Party decoration game,Spanish word,Tilde over n,language spanish culture
